province,district,gdp,costperson,popularity,fix/person,gdp/person,student/preson,spentgov/person,incomgov/per,highspeed/person,id
北京市,华北,23014.59,33802.77,2171,34527.82128,106009.1663,232.9341317,26428.83464,21758.91294,0.460617227,11
天津市,华北,16538.19,24162.46,1547,76483.45184,106904.9127,215.9663866,20894.31157,17240.53006,0.711053652,12
河北省,华北,29806.11,13030.69,7425,39660.9697,40142.90909,91.93265993,7585.441077,3567.919192,0.848484848,13
山西省,华北,12766.49,11729.05,3664,38411.98144,34843.04039,123.3624454,9342.167031,4482.396288,1.364628821,14
内蒙古自治区,华北,17831.51,17178.53,2511,54568.77738,71013.58025,95.30067702,16937.31581,7823.496615,1.99123855,15
辽宁省,东北,28669.02,17199.8,4382,40889.75354,65424.50936,162.2318576,10227.31629,4854.837974,0.958466454,21
吉林省,东北,14063.13,13763.91,2753,46150.70832,51082.92772,171.1950599,11685.79731,4465.49219,0.944424264,22
黑龙江省,东北,15083.67,13402.54,3812,26712.88038,39568.91396,134.8373557,10547.37671,3058.447009,1.128016789,23
上海市,华东,25123.45,34783.55,2415,26305.17598,104030.8489,152.0496894,25637.92961,22855.07246,0.33126294,31
江苏省,华东,70116.38,20555.56,7976,57982.53511,87909.20261,129.4508526,12145.91274,10065.93531,0.564192578,32
浙江省,华东,42886.49,24116.88,5539,49328.97635,77426.41271,109.8393212,11998.51959,8683.769634,0.704098213,33
安徽省,华东,22005.63,12840.11,6144,39690.70638,35816.45508,101.4811198,8527.034505,3994.628906,0.68359375,34
福建省,华东,25979.82,18850.19,3839,55486.79344,67673.40453,128.1062777,10423.4957,6627.350873,1.250325606,35
江西省,华东,16723.78,12403.37,4566,38081.75646,36626.76303,110.9943057,9663.929041,4743.188787,1.11695138,36
山东省,华东,63002.33,14578.36,9847,49063.10551,63981.24302,99.1063268,8378.196405,5615.243221,0.538234995,37
河南省,华中,37002.16,11835.13,9480,37616.40295,39031.81435,105.0105485,7172.310127,3181.487342,0.664556962,41
湖北省,华中,29550.19,14316.5,5852,45392.85714,50495.88175,147.6076555,10479.90431,5135.902256,1.059466849,42
湖南省,华中,28902.21,14267.34,6783,36923.30827,42609.77444,100,8445.702492,3708.432847,0.840336134,43
广东省,华南,72812.55,20975.7,10849,27968.50401,67114.52668,95.93510923,11823.94691,8633.772698,0.645220758,44
广西壮族自治区,华南,16803.12,11401,4796,33836.07173,35035.69641,80.81734779,8476.876564,3159.216013,0.896580484,45
海南省,华南,3702.76,13575.02,911,37883.86389,40645.00549,116.3556531,13605.15917,6890.230516,0.878155873,46
重庆市,西南,15717.27,15139.54,3017,47574.54425,52095.69108,146.9671859,12568.77693,7142.293669,0.82863772,50
四川省,西南,30053.1,13632.1,8204,31113.9688,36632.25256,95.51438323,9138.846904,4090.004876,0.731350561,51
贵州省,西南,10502.56,10413.75,3530,31007.19547,29752.29462,79.80169972,11160.05666,4258.866856,1.444759207,52
云南省,西南,13619.17,11005.41,4742,28470.30789,28720.30789,81.37916491,9938.485871,3812.948123,0.843525938,53
西藏自治区,西南,1026.39,8245.76,324,39990.12346,31678.7037,71.60493827,42637.65432,4232.407407,0,54
陕西省,西北,18021.86,13087.22,3793,48990.87793,47513.47219,184.1550224,11537.20011,5430.925389,1.344582125,61
甘肃省,西北,6790.32,10950.76,2600,33670.11538,26116.61538,111.8461538,11378.11538,2861,1.346153846,62
青海省,西北,2417.05,13611.34,588,54602.55102,41106.29252,60.20408163,25768.02721,4543.027211,4.591836735,63
宁夏回族自治区,西北,2911.77,13815.63,668,52476.79641,43589.37126,111.6766467,17043.26347,5589.820359,2.245508982,64
新疆维吾尔自治区,西北,9324.8,12867.4,2360,45817.92373,39511.86441,68.60169492,16122.33051,5639.40678,1.822033898,65